province_cn,batch_year,n_proj,n_inh,ipr,region
上海市,2007.0,131.0,0.0,0.0,East
上海市,2009.0,70.0,211.0,3.0142857142857142,East
上海市,2010.0,0.0,129.0,,East
上海市,2011.0,46.0,0.0,0.0,East
上海市,2012.0,0.0,113.0,,East
上海市,2013.0,83.0,0.0,0.0,East
上海市,2014.0,0.0,84.0,,East
上海市,2016.0,0.0,108.0,,East
上海市,2020.0,37.0,147.0,3.972972972972973,East
上海市,2024.0,26.0,0.0,0.0,East
云南省,2006.0,171.0,36.0,0.21052631578947367,West
云南省,2009.0,133.0,86.0,0.6466165413533834,West
云南省,2013.0,93.0,62.0,0.6666666666666666,West
云南省,2017.0,228.0,156.0,0.6842105263157895,West
云南省,2022.0,284.0,237.0,0.8345070422535211,West
云南省,2023.0,0.0,347.0,,West
内蒙古自治区,2007.0,191.0,208.0,1.0890052356020943,West
内蒙古自治区,2009.0,118.0,115.0,0.9745762711864406,West
内蒙古自治区,2011.0,75.0,76.0,1.0133333333333334,West
内蒙古自治区,2013.0,70.0,165.0,2.357142857142857,West
内蒙古自治区,2015.0,106.0,166.0,1.5660377358490567,West
内蒙古自治区,2018.0,184.0,38.0,0.20652173913043478,West
内蒙古自治区,2022.0,86.0,120.0,1.3953488372093024,West
北京市,2006.0,36.0,0.0,0.0,East
北京市,2007.0,108.0,0.0,0.0,East
北京市,2008.0,1.0,159.0,159.0,East
北京市,2009.0,66.0,0.0,0.0,East
北京市,2010.0,1.0,0.0,0.0,East
北京市,2011.0,1.0,46.0,46.0,East
北京市,2012.0,1.0,0.0,0.0,East
北京市,2013.0,1.0,0.0,0.0,East
北京市,2014.0,30.0,0.0,0.0,East
北京市,2015.0,1.0,75.0,75.0,East
北京市,2016.0,1.0,0.0,0.0,East
北京市,2017.0,1.0,0.0,0.0,East
北京市,2018.0,1.0,0.0,0.0,East
北京市,2019.0,1.0,0.0,0.0,East
北京市,2020.0,1.0,0.0,0.0,East
北京市,2021.0,48.0,0.0,0.0,East
吉林省,2007.0,82.0,0.0,0.0,Northeast
吉林省,2009.0,116.0,0.0,0.0,Northeast
吉林省,2011.0,102.0,0.0,0.0,Northeast
吉林省,2015.0,0.0,34.0,,Northeast
吉林省,2016.0,50.0,36.0,0.72,Northeast
吉林省,2019.0,22.0,0.0,0.0,Northeast
吉林省,2021.0,70.0,61.0,0.8714285714285714,Northeast
吉林省,2023.0,0.0,84.0,,Northeast
四川省,2007.0,255.0,0.0,0.0,West
四川省,2008.0,0.0,60.0,,West
四川省,2009.0,187.0,49.0,0.2620320855614973,West
四川省,2010.0,0.0,249.0,,West
四川省,2011.0,151.0,188.0,1.2450331125827814,West
四川省,2012.0,0.0,108.0,,West
四川省,2014.0,69.0,0.0,0.0,West
四川省,2016.0,0.0,82.0,,West
四川省,2018.0,90.0,0.0,0.0,West
四川省,2021.0,0.0,310.0,,West
四川省,2022.0,331.0,0.0,0.0,West
天津市,2007.0,32.0,0.0,0.0,East
天津市,2009.0,51.0,0.0,0.0,East
天津市,2010.0,16.0,0.0,0.0,East
天津市,2011.0,0.0,119.0,,East
天津市,2013.0,64.0,0.0,0.0,East
天津市,2015.0,0.0,102.0,,East
天津市,2017.0,95.0,0.0,0.0,East
天津市,2019.0,0.0,61.0,,East
天津市,2022.0,125.0,0.0,0.0,East
宁夏回族自治区,2007.0,51.0,0.0,0.0,West
宁夏回族自治区,2008.0,0.0,25.0,,West
宁夏回族自治区,2009.0,22.0,0.0,0.0,West
宁夏回族自治区,2010.0,0.0,62.0,,West
宁夏回族自治区,2012.0,15.0,56.0,3.7333333333333334,West
宁夏回族自治区,2016.0,31.0,33.0,1.064516129032258,West
宁夏回族自治区,2019.0,37.0,0.0,0.0,West
宁夏回族自治区,2020.0,0.0,73.0,,West
