category_en,projects,exact_matched_projects,fuzzy_matched_projects,exact_match_rate,fuzzy_match_rate,category_order
Folk Literature,1404,512,524,0.3646723646723647,0.3732193732193732,1
Traditional Music,1776,1077,1087,0.606418918918919,0.6120495495495496,2
Traditional Dance,1920,1137,1160,0.5921875,0.6041666666666666,3
Traditional Drama,1287,826,832,0.6418026418026418,0.6464646464646465,4
Quyi,773,464,467,0.6002587322121604,0.6041397153945667,5
"Traditional Sports, Games And Acrobatics",1210,659,664,0.5446280991735537,0.5487603305785124,6
Traditional Art,2333,1309,1320,0.5610801543077583,0.5657951135876553,7
Traditional Skills,6169,2958,3068,0.47949424542065167,0.49732533635921544,8
Traditional Medicine,1152,544,562,0.4722222222222222,0.4878472222222222,9
Folk Customs,2799,974,991,0.34798142193640585,0.35405501964987496,10
