variable,count,mean,std,min,median,max
project_count,31,674.9677419354839,285.057126891081,87.0,685.0,1252.0
inheritor_count,31,721.3225806451613,320.3141569456226,150.0,746.0,1435.0
IPR,31,1.1122432243631966,0.34898139330334393,0.4864253393665158,1.042384105960265,2.015267175572519
GDP_per_capita,31,90714.63806252586,37843.45471087613,51000.45682960256,76840.38555791538,200187.5571820677
fiscal_expenditure_per_capita,31,17236.599836438403,9509.698393721334,9306.650348932675,14468.459570580171,53813.66288951841
A_level_scenic_area_count,30,523.4,270.0097827091098,109.0,539.0,1254.0
five_A_scenic_area_count,30,11.466666666666667,5.531934458268166,2.0,12.0,26.0
historical_cultural_city_town_village_count,31,30.096774193548388,26.890338833503847,2.0,25.0,117.0
library_count,0,,,,,
museum_count,31,207.03225806451613,170.77050562494054,15.0,182.0,807.0
cultural_capacity_proxy,31,1.8264959437381609e-16,1.0165300454651272,-1.3506400557404574,-0.3438533675863583,2.684798594793207
